pose,ENER,GRMS,DELTA,BOND,ANGL,UREY,DIHE,IMPR,VDW,ELEC
initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-50.47243820673094,2.719075941371088,0.0,-0.00020490054869615193,5.22128799311794e-05,1.2160881641340437e-05,6.015377744361672e-06,-1.7093764070833656e-06,0.00015835905045946674,-2.7480462353679513e-05
2,-49.07946616678183,2.048512461823093,0.0,6.264895278440541e-05,-3.251588323927024e-06,-9.380197324049266e-06,5.206981539274125e-07,1.2801617447801006e-06,-7.920216279089232e-05,2.235154280683105e-05
3,-48.251098563155566,2.5851908689576515,0.0,0.0001363511124401473,1.2549975915376876e-05,-1.083992141910628e-05,-8.861614719357647e-06,3.2108903761079305e-06,-0.00012420966693404978,7.783995304322389e-06
4,-47.72089805675791,1.8383311716147643,0.0,-1.3338127348161422e-05,3.733809114292441e-05,-8.753652638332499e-06,-4.828423412206462e-07,-1.6615556435173318e-06,-3.219946778187932e-05,7.380373800103257e-06
5,-46.78434095468832,2.6791193165609677,0.0,9.920716258404738e-05,-3.1124363961687607e-06,-9.907348314672215e-06,-1.0784903681226865e-05,-1.0086999708645156e-06,-8.119178810339633e-05,-6.787674903918628e-06
6,-46.392856100953566,2.654003499511445,0.0,0.0001401804817653396,6.811383095772783e-06,-1.0831607916234054e-05,-6.3543670556498455e-06,2.791637109134798e-06,-0.0001336787080248314,1.90130320323334e-05
7,-45.19512461902106,2.363198568259275,0.0,-0.00020994424967124559,-2.1828273145896304e-05,1.4767302604773436e-05,-1.323640614003807e-06,1.5379296312133944e-06,0.00023522078665116908,-2.457787287823976e-05
8,-45.08726469569658,2.852201336922721,0.0,-4.039635424901711e-05,-1.0599481351292184e-05,7.1776550380348025e-06,-1.9439349907557357e-06,-1.8393394269240748e-06,4.3359672073250977e-05,-1.122546501797217e-05
9,-45.03440250062901,2.4963111330761825,0.0,5.47634485437154e-05,7.057767991369701e-06,-7.455886080906526e-06,-1.225286414552329e-07,2.001271375498201e-06,-7.850659857666642e-05,1.8676963373209787e-05
10,-44.94410656069891,1.727345563487075,0.0,5.71173581636053e-05,3.965328091215525e-06,-2.9368021108172604e-06,8.054701363668926e-06,-2.0450338023905723e-06,-5.93477983947821e-05,5.788809952278484e-06
11,-44.47714255114995,2.1473267160226164,0.0,-8.641215570892591e-05,-2.6286067375203004e-05,6.662344849472923e-06,-1.7345080882691377e-06,-1.9774999494076226e-06,9.067318860012108e-05,-5.96784911266468e-07
12,-43.50709565694845,2.2935491720534253,0.0,-5.0357236140774475e-05,7.728138795570771e-07,2.719536912845766e-06,2.72444746229894e-06,-2.9582134807946275e-06,3.734054265969178e-05,-6.3721760223955926e-06
13,-43.384309788739905,1.5864572532185992,0.0,-2.421858602952298e-05,5.1146650894562384e-05,-2.4784108032527286e-07,-7.152380865349528e-07,2.7993154422135264e-06,-1.525817114789163e-05,-6.220317533944808e-06
14,-43.20165838528908,1.6643731641801494,0.0,-0.00023468185457908852,5.403473413156945e-06,2.087522508613382e-05,-5.190285774503423e-07,8.712707215696724e-07,0.00021985655576095553,-2.725107308698682e-05
15,-43.17549406475883,1.594898319711934,0.0,1.2851801578506183e-06,2.509801902750297e-05,-1.5987155360663863e-06,-1.411853324206902e-05,2.994286910383559e-06,-1.4602384075246277e-05,4.945388281996088e-06
16,-43.10414458463684,1.5587272589560284,0.0,7.310493313927857e-05,-2.752294362950991e-05,-1.725915418650248e-05,1.5717800332382126e-06,6.033519295931683e-07,-2.7798277647761438e-05,3.2030360124224444e-06
17,-42.842571612235744,2.10227142510868,0.0,2.677419558660965e-05,3.0375135784410645e-07,2.447356002743817e-06,-3.938307654216544e-06,2.0340530910815946e-06,-2.1870709897342522e-05,-1.039194694740786e-06
18,-42.72637764741784,2.08531013127023,0.0,-0.0002476700693418987,-2.532818832357009e-05,2.421324083740073e-05,-8.239859337066946e-07,-4.7349431955660826e-07,0.0002826395646078339,-3.667838222476405e-05
19,-42.676534079602426,2.3080668774166044,0.0,-4.393653285794663e-05,2.5462836388268073e-05,3.524231287646562e-06,4.687445652962197e-06,-1.0037908979732696e-06,7.225500750607239e-06,-3.3315405083556016e-06
20,-42.627084283733,2.0276551294204155,0.0,-7.921766887353243e-05,7.572344393302899e-06,1.692644464659776e-06,1.0594932389196288e-06,-6.734401790178812e-07,7.360827025948424e-05,-8.318136771379159e-06
21,-42.56225889512872,1.8137884002375135,0.0,1.7974377786167395e-07,-1.1396672384922368e-05,2.65714295231978e-06,7.155773853462222e-06,-1.1910286210059517e-06,-1.1555880670144347e-05,-1.1611002950218108e-06
22,-42.51237124988545,1.9780879347940932,0.0,-1.114212924102631e-05,1.0008024985186381e-05,6.152468278924905e-06,-9.146796603687335e-06,8.442894850017868e-07,-2.313594848857292e-05,8.2009812558681e-06
23,-42.499206904725135,1.6782143831163827,0.0,-0.00011617192142110433,-4.0607852931806576e-05,1.0985718562173119e-05,-7.777113077978015e-07,-8.906903804836025e-07,0.00012936993064727176,-4.629039036530003e-06
24,-42.44685967040702,2.445020595939347,0.0,-0.00029580643730775513,5.913913040167529e-05,1.8082300450486533e-05,-3.837031230524701e-06,-1.7843840566409905e-06,0.00024308027571429136,-2.2846370061557764e-05
25,-42.299943414487466,1.6336002260636366,0.0,8.719697509507185e-05,-2.749686447067745e-05,3.110907669218177e-06,3.565942723326998e-07,9.68322836776038e-07,-7.866497918129767e-05,7.115800633172853e-06
26,-42.29656919273193,1.9001126307406526,0.0,-0.00022248220712794975,1.119837162244508e-05,1.5417660693031743e-05,2.4702147678468123e-06,-4.946510067261461e-07,0.00019082459337838031,-1.184193352088414e-05
27,-42.2823276764101,1.9307767276283778,0.0,-6.415801586756587e-05,-4.5444075893463776e-06,8.26673791867738e-06,8.969320379748069e-07,-9.96196246589795e-07,4.4877699865608633e-05,-1.2115777252574844e-05
28,-42.256060225425735,2.3360240581902088,0.0,8.891456287463129e-06,-4.659816265650818e-05,-8.139425818204371e-07,3.376626627193957e-06,2.7238425916254264e-06,3.484651461249655e-05,2.7543348313230354e-06
29,-42.244542640254735,1.9035069468591557,0.0,5.833739026384066e-05,7.813031165149198e-06,-5.416242457020881e-06,-6.442241577531149e-06,-2.917300157331132e-07,-4.746765212892967e-05,8.473757869609244e-06
30,-42.06559095834256,2.2539057588697706,0.0,-5.663572997693933e-06,-1.5821886129252505e-05,1.116705511297611e-06,-1.9461294673561724e-06,1.2594005009752482e-06,4.0415967603735226e-05,-5.445027403183644e-06
31,-41.95307737734656,2.204002125111167,0.0,-9.884435755003196e-05,-4.1251410958231816e-06,-1.3340175970127932e-06,1.6969383580978104e-05,-3.801981661448635e-06,9.268384428118281e-05,2.2759714433107092e-06
32,-41.864445625447196,2.25565693951247,0.0,-0.00026413046222995007,3.7443209282450596e-05,1.845840630698703e-05,-1.0119184947754434e-06,6.148204141406127e-07,0.00022441696108721487,-3.1930752252051775e-05
33,-41.66472270458411,1.747940698745627,0.0,8.611024412563673e-05,2.2902570763427832e-05,-8.176028846687555e-06,4.165079555029649e-06,2.979420392596778e-06,-0.00011076517774633032,1.831579165489927e-05
34,-41.620608499621575,2.023317351948152,0.0,-3.7195637508924406e-05,-6.352797800124321e-05,9.348924234625633e-06,-1.1526110110793297e-07,4.1580349787982696e-06,6.619071490909789e-05,9.010379304896787e-07
35,-41.532973660531056,1.7594669186985965,0.0,-0.00031002236826638274,4.456344657688405e-05,2.421348695132164e-05,3.336638476625353e-06,1.856528827261228e-06,0.00027338449214298066,-3.423773208588443e-05
36,-41.53287829194491,1.7573312352669914,0.0,-0.00011330829436162482,1.3272856094648233e-05,2.938833167639987e-06,3.4028248405704176e-06,7.630070375866382e-08,7.873447360218222e-05,-3.478590905103829e-06
37,-26.63159597493931,3.1978044231875202,0.0,-3.3649250123168883e-05,9.930660533896685e-06,-3.7800407665378177e-06,-5.364220645454054e-06,6.700562008195299e-08,1.8126625219494485e-05,2.239301343465172e-06
38,-41.37920599221784,2.525118701992023,0.0,-3.6492208492111544e-05,-1.30176915997815e-05,3.2311727853340244e-06,-6.407089081506001e-08,-1.5807383114199713e-06,7.824118803156921e-05,-2.035905243857883e-05
39,-41.23557664488811,1.5756992056929358,0.0,-8.748967832250543e-05,-1.2058672697712325e-05,-3.367587058378252e-07,-9.689225175080196e-06,5.5932783787418505e-06,9.152595760042459e-05,-1.1918435838254027e-06
40,-41.23669406984666,1.7002949570184969,0.0,-0.00023870014747884305,-7.858685981076974e-06,1.966472338685299e-05,-1.1008448259630654e-06,3.406254457999011e-07,0.00023144376337036476,-3.530467376755553e-05
41,-41.21473182049502,2.049623861997011,0.0,0.0002595760692154503,-2.045034965059145e-05,-1.2015853676827781e-05,1.1287578415064559e-05,5.4292546944334497e-08,-0.00024838874704968816,3.4151279555416636e-05
42,-41.05312918452716,2.0432573859776677,0.0,0.00020594571263155004,-3.34165208535353e-05,-1.0912346374528092e-05,-4.876545037113544e-06,4.286026293685158e-06,-0.00015491058124084134,2.0023895826781768e-05
43,-40.91305638583694,2.0078092129716096,0.0,-0.00013286336214934913,1.2237868095343885e-05,1.1070566127202586e-05,2.563426465762575e-06,-3.5206474562083506e-06,9.20635023184957e-05,-6.897498852964645e-06
44,-40.789679765447275,1.8195816822335371,0.0,-8.152887505952222e-05,2.608668254744373e-06,9.88298129299403e-06,-1.158868659700829e-06,2.0452342463367357e-07,7.02870774595965e-05,-4.590530544135163e-06
45,-40.77161501366886,2.813562798110919,0.0,-3.786986468057307e-05,7.186558963034884e-06,2.1740395886316044e-06,-1.4652180304608464e-06,-2.223330173871732e-06,5.8485192530710606e-05,-1.781937705302994e-05
46,-40.722798403720255,2.0382598099104285,0.0,6.720872003995737e-05,3.552996784783602e-05,-1.1249601508875329e-05,-8.517515976080858e-06,3.7016265110045854e-07,-8.048214193578929e-05,-4.946314952292141e-06
47,-40.699832379304894,2.2499127855729757,0.0,-0.00014211037153311068,2.759775132421538e-06,4.2269356342883313e-07,1.738545071017228e-05,-2.3918040411696068e-06,0.00011859785163359504,-1.4785607721279348e-05
48,-40.579028002788945,1.7427456343714716,0.0,-0.00016329636984058205,8.212020878151094e-05,1.1308693068451392e-05,-1.6888431346728794e-06,4.045236618484618e-06,0.00010742895205950731,-2.4072747475401002e-05
49,-40.55214817147872,1.7400102341257813,0.0,5.688083289867585e-05,9.283068086674007e-06,1.6547801273414375e-06,4.644594608471664e-06,-2.9537328817405215e-06,-4.627108397947666e-05,1.6327046470365758e-06
50,-40.53578317427401,1.5623689032447814,0.0,0.00010503926247928952,-1.0245409982623244e-06,-1.0160181289770032e-05,4.820869350830037e-06,-2.712809709937321e-06,-6.293877259366809e-05,-2.187987348634124e-06
51,-40.52630875563413,1.7784086991529549,0.0,6.129552547440298e-05,5.9383678641111715e-06,-4.752199814800351e-06,1.1047409334885572e-05,-2.015821586445754e-06,-7.333771775819287e-05,1.2919114388054709e-05
52,-40.5094074723245,1.7125565183504032,0.0,0.00011700031223305096,-6.8214692481305406e-06,-8.099722602433745e-06,1.8288625440732176e-06,1.322067071447136e-06,-9.137424752481138e-05,-1.0497962662725513e-05
53,-40.50346487225632,2.413681537597634,0.0,0.00011946242902682869,-1.7256522220066017e-05,-1.6892099445331432e-06,-2.981425998527243e-06,-6.932610663888672e-06,-0.0001124225282200797,2.0072515486191378e-05
54,-40.4514898758208,2.390133598889791,0.0,1.211349056218225e-05,3.439667387361567e-06,2.1381544554888166e-06,-8.171882658558616e-06,1.257265288741663e-06,-7.976741471793503e-07,2.819586251590067e-06
55,-40.45041197846893,2.3042867642998415,0.0,1.769885291946771e-05,-3.642496549893792e-05,-2.9347672300394922e-06,2.198986265966596e-06,6.785612092349499e-07,-8.400577069522797e-07,6.2828049163243804e-06
56,-40.44886255079539,1.6296307315035188,0.0,-0.0002357211675443338,1.0064178980417893e-05,1.2143834042771529e-05,5.222341856736534e-07,1.735790362277466e-06,0.0002344484165135441,-2.0719210134245714e-05
57,-40.40878799232321,2.112842904434237,0.0,0.00013127290479930664,-8.583514005788828e-06,-1.2433352894664074e-05,-7.865293413011898e-06,-5.123311835799477e-07,-0.00010864660363019141,9.223881665576528e-06
58,-40.33906782140293,1.5782603559658002,0.0,-0.00026013831949689425,2.5127403564084716e-05,1.7667530991763436e-05,1.967344631204071e-06,-2.1059503714808067e-06,0.00024855642477561446,-2.940360621117577e-05
59,-40.33618566491089,1.4500102718577819,0.0,5.593526859537512e-05,3.112828189877348e-06,-5.735925573763234e-06,-8.773535565609336e-06,5.344214557539279e-07,-7.897693079605972e-05,1.0611536692906043e-05
