name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,logloss,0.6591145157297871,146.16,0.4343
2_Default_CatBoost,CatBoost,logloss,0.6396236109418859,93.61,0.0418
3_Default_RandomForest,Random Forest,logloss,0.6367596836787832,100.42,0.4934
4_Xgboost,Xgboost,logloss,0.6582395839942508,142.71,0.4512
8_CatBoost,CatBoost,logloss,0.6494899493299789,40.08,0.0428
12_RandomForest,Random Forest,logloss,0.6359509914462015,109.61,0.5056
5_Xgboost,Xgboost,logloss,0.6712645504982716,149.33,0.452
9_CatBoost,CatBoost,logloss,0.6349127331792211,83.31,0.0432
13_RandomForest,Random Forest,logloss,0.6422829066217323,123.11,0.5203
6_Xgboost,Xgboost,logloss,0.646651250649109,151.05,0.4487
10_CatBoost,CatBoost,logloss,0.647651608254767,120.52,0.0429
14_RandomForest,Random Forest,logloss,0.649951029243878,116.09,0.5008
7_Xgboost,Xgboost,logloss,0.666183113266366,141.49,0.449
11_CatBoost,CatBoost,logloss,0.6303747081245374,144.64,0.043
15_RandomForest,Random Forest,logloss,0.6482587157359248,136.76,0.5343
16_CatBoost,CatBoost,logloss,0.6370182600976159,238.65,0.0422
17_CatBoost,CatBoost,logloss,0.631446083487358,123.5,0.0432
18_CatBoost,CatBoost,logloss,0.6404574583189424,93.41,0.043
19_RandomForest,Random Forest,logloss,0.6361811996627001,134.06,0.5235
20_RandomForest,Random Forest,logloss,0.6366149108507498,126.81,0.5047
21_Xgboost,Xgboost,logloss,0.646651250649109,162.77,0.4512
22_Xgboost,Xgboost,logloss,0.646651250649109,166.19,0.4367
23_Xgboost,Xgboost,logloss,0.6562638237623565,168.61,0.4373
24_Xgboost,Xgboost,logloss,0.6610499120979424,171.71,0.4526
25_CatBoost,CatBoost,logloss,0.6279059409061731,163.93,0.0428
26_CatBoost,CatBoost,logloss,0.6283807630703718,185.96,0.0434
Ensemble,Ensemble,logloss,0.6210125103432078,1.38,0.2106
